significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
32,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,4,3,0.03,False,False,
33,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;ifl_proxy_breath_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,3,3,0.03,False,False,
34,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;ifl_proxy_breath_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,3,3,0.03,False,False,
35,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,3,2,0.02,False,False,
36,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,4,2,0.02,False,False,
37,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,5,2,0.02,False,False,
38,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,2,0.02,False,False,
39,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;pulse_activation_fraction->ifl_proxy_breath_fraction@lag1,3,2,0.02,False,False,
40,ifl_proxy_breath_fraction,flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,2,0.02,False,False,
41,ifl_proxy_breath_fraction,flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,3,2,0.02,False,False,
42,odi3_desaturation_fraction,ifl_proxy_breath_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,2,0.02,False,False,
43,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag1,4,1,0.01,False,False,
44,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,1,0.01,False,False,
45,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,3,1,0.01,False,False,
46,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,3,1,0.01,False,False,
47,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,4,1,0.01,False,False,
48,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;pulse_activation_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,5,1,0.01,False,False,
49,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,3,1,0.01,False,False,
50,ifl_proxy_breath_fraction,flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,4,1,0.01,False,False,
51,ifl_proxy_breath_fraction,flow_limited_effort_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,1,0.01,False,False,
52,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1;pulse_activation_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,4,1,0.01,False,False,
53,pulse_activation_fraction,ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,1,0.01,False,False,
54,pulse_activation_fraction,odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,1,0.01,False,False,
55,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,1,0.01,False,False,
