source_node,target_node,lag,graph_entry,p_value,test_statistic,mci_value,abs_mci_value,selected_adjacency,selected,is_contemporaneous,method,posterior,bootstrap_count,mci_bootstrap_count
ifl_proxy_breath_fraction,ahe_proxy_fraction,0,-->,,-0.06690548731608954,-0.06690548731608954,0.06690548731608954,True,True,True,bootstrap_gma_threshold_sweep,0.18,18,44
snoring_bout_fraction,ahe_proxy_fraction,0,-->,,-0.07420863196136046,-0.07420863196136046,0.07420863196136046,True,True,True,bootstrap_gma_threshold_sweep,0.17,17,39
ifl_proxy_breath_fraction,snoring_bout_fraction,0,-->,,-0.04444834039245073,-0.04444834039245073,0.04444834039245073,True,True,True,bootstrap_gma_threshold_sweep,0.1,10,14
ahe_proxy_fraction,ahe_proxy_fraction,1,-->,,0.5931768777939395,0.5931768777939395,0.5931768777939395,True,True,False,bootstrap_gma_threshold_sweep,0.22,22,100
odi3_desaturation_fraction,ahe_proxy_fraction,1,-->,,0.040663366498526865,0.040663366498526865,0.040663366498526865,True,True,False,bootstrap_gma_threshold_sweep,0.22,22,39
ifl_proxy_breath_fraction,ifl_proxy_breath_fraction,1,-->,,0.40901224887253673,0.40901224887253673,0.40901224887253673,True,True,False,bootstrap_gma_threshold_sweep,0.88,88,100
ahe_proxy_fraction,odi3_desaturation_fraction,1,-->,,-0.07469727347204587,-0.07469727347204587,0.07469727347204587,True,True,False,bootstrap_gma_threshold_sweep,0.95,95,95
odi3_desaturation_fraction,odi3_desaturation_fraction,1,-->,,0.577227709231233,0.577227709231233,0.577227709231233,True,True,False,bootstrap_gma_threshold_sweep,0.95,95,100
ahe_proxy_fraction,pulse_activation_fraction,1,-->,,-0.03703617924827843,-0.03703617924827843,0.03703617924827843,True,True,False,bootstrap_gma_threshold_sweep,0.21,21,34
odi3_desaturation_fraction,pulse_activation_fraction,1,-->,,0.0394296005877385,0.0394296005877385,0.0394296005877385,True,True,False,bootstrap_gma_threshold_sweep,0.17,17,30
pulse_activation_fraction,pulse_activation_fraction,1,-->,,0.3560780706069106,0.3560780706069106,0.3560780706069106,True,True,False,bootstrap_gma_threshold_sweep,0.49,49,100
ifl_proxy_breath_fraction,snoring_bout_fraction,1,-->,,-0.03662235206875537,-0.03662235206875537,0.03662235206875537,True,True,False,bootstrap_gma_threshold_sweep,0.15,15,24
snoring_bout_fraction,snoring_bout_fraction,1,-->,,0.4726384789855293,0.4726384789855293,0.4726384789855293,True,True,False,bootstrap_gma_threshold_sweep,0.52,52,100
