,ahe_proxy_fraction,ifl_proxy_breath_fraction,flow_limited_effort_fraction,pulse_activation_fraction,odi3_desaturation_fraction,snoring_bout_fraction
ahe_proxy_fraction,0.5808766305387106,0.0,0.0,0.0,-0.06790906363606501,0.0
ifl_proxy_breath_fraction,0.0,0.4091003873413021,0.0,0.0,0.0,0.0
flow_limited_effort_fraction,0.0,0.0,0.2670990230053863,0.0,0.0,0.0
pulse_activation_fraction,0.0,0.0,0.0,0.3130039283673931,0.0,0.0
odi3_desaturation_fraction,0.036952273883807535,0.0,0.0,0.033666595940472076,0.5867622062802438,0.0
snoring_bout_fraction,0.0,0.0,0.0,0.0,0.0,0.4728681120373228
